quarter,GDP,gdp_growth,unemployment_rate,fedfunds,housing_price,inflation
2005Q1,12767.286,,5.3,2.47,164.577,
2005Q2,12922.656,,5.1000000000000005,2.9433333333333334,172.017,
2005Q3,13142.642,,4.966666666666667,3.4599999999999995,177.612,
2005Q4,13324.204,,4.966666666666667,3.98,180.108,
2006Q1,13599.16,6.515668247738793,4.733333333333333,4.456666666666667,182.74900000000002,3.4179181771103018
2006Q2,13753.424,6.428771299027081,4.633333333333333,4.906666666666667,184.547,4.1817243159525175
2006Q3,13870.188,5.5357667050506265,4.633333333333334,5.246666666666667,184.19799999999998,2.012072434607637
2006Q4,14039.56,5.368846048889675,4.433333333333334,5.246666666666667,183.229,2.5239777889954462
2007Q1,14215.651,4.533302056891753,4.5,5.256666666666667,182.19299999999998,2.798197295943927
2007Q2,14402.082,4.716338273291076,4.5,5.25,181.54,2.692765113974227
2007Q3,14564.117,5.003025193313881,4.666666666666667,5.073333333333333,179.122,2.8338264299802685
2007Q4,14715.058,4.811390100544477,4.8,4.496666666666667,173.33700000000002,4.108813392417532
2008Q1,14706.538,3.453144706492872,5.0,3.1766666666666663,167.90200000000002,3.9749035501344343
2008Q2,14865.701,3.2191109590960387,5.333333333333333,2.0866666666666664,166.53599999999997,4.935966105947864
2008Q3,14898.999,2.299363565947732,6.0,1.9400000000000002,161.912,4.953319875136075
2008Q4,14608.209,-0.7261201416943086,6.866666666666667,0.5066666666666667,152.54399999999998,-0.02222800255385904
2009Q1,14430.902,-1.8742412388286112,8.266666666666667,0.18333333333333335,146.514,-0.4464787676623838
2009Q2,14381.236,-3.2589448691319634,9.299999999999999,0.18000000000000002,149.796,-1.2291746182109153
2009Q3,14448.882,-3.021122425741485,9.633333333333333,0.15666666666666665,149.628,-1.377942862886472
2009Q4,14651.249,0.2946288624430249,9.933333333333334,0.12,146.666,2.8141231232083674
2010Q1,14764.61,2.3124542041793372,9.833333333333334,0.13333333333333333,143.596,2.2861714393279886
2010Q2,14980.193,4.16485064287937,9.633333333333333,0.19333333333333336,147.703,1.1215605940686268
2010Q3,15141.607,4.794315574035424,9.466666666666667,0.18666666666666668,144.608,1.1183122472331775
2010Q4,15309.474,4.492620390247959,9.5,0.18666666666666668,140.625,1.437793022217937
2011Q1,15351.448,3.9746258113150246,9.033333333333333,0.15666666666666668,137.781,2.619241510354109
2011Q2,15557.539,3.854062494388444,9.066666666666666,0.09333333333333334,141.944,3.5023181506360412
2011Q3,15647.68,3.3422674356823556,9.0,0.08333333333333333,140.165,3.812621692818685
2011Q4,15842.259,3.480099969469874,8.633333333333333,0.07333333333333335,135.162,3.062066838419386
2012Q1,16068.805,4.6728947002263155,8.266666666666667,0.10333333333333333,135.859,2.5828752813320977
2012Q2,16207.115,4.17531333201222,8.2,0.15333333333333335,143.166,1.653870448297634
2012Q3,16319.541,4.29367804045071,8.033333333333333,0.14333333333333334,144.355,1.9497168982819613
2012Q4,16420.419,3.6494795344527597,7.8,0.16,143.86,1.7595049796895523
2013Q1,16648.189,3.605644601449809,7.733333333333333,0.14333333333333334,147.957,1.5187472411246183
2013Q2,16728.687,3.2181668359853255,7.533333333333334,0.11666666666666665,156.423,1.7157935271568725
2013Q3,16953.838,3.886733088877925,7.233333333333333,0.08333333333333333,159.668,1.0947341081747997
2013Q4,17192.019,4.6990274730504655,6.933333333333334,0.08666666666666667,159.281,1.5128383667573297
2014Q1,17197.738,3.3009536352572866,6.666666666666667,0.07333333333333335,161.185,1.6126949139408042
2014Q2,17518.508,4.721356792675957,6.2,0.09333333333333334,166.207,2.0589816945944195
2014Q3,17804.228,5.015914390594034,6.066666666666666,0.09000000000000001,167.236,1.6840509711232077
2014Q4,17912.079,4.188338786735879,5.7,0.09999999999999999,166.454,0.6531213919623191
2015Q1,18063.529,5.034330677673982,5.533333333333334,0.11,168.081,-0.022031284423873476
2015Q2,18279.784,4.34555271487731,5.433333333333334,0.12333333333333334,173.446,0.1795718097550525
2015Q3,18401.626,3.355371544332053,5.1000000000000005,0.1366666666666667,175.03400000000002,0.008842961634170088
2015Q4,18435.137,2.920141207505833,5.033333333333333,0.16,175.1,0.6387247515364791
2016Q1,18525.933,2.5598763120982637,4.8999999999999995,0.36000000000000004,176.59099999999998,0.8916160965521946
2016Q2,18711.702,2.362817853865229,4.933333333333334,0.37333333333333335,181.907,1.0792865347959424
2016Q3,18892.639,2.6683131153736106,4.8999999999999995,0.39666666666666667,183.933,1.5486446201652182
2016Q4,19089.379,3.5488860212972817,4.766666666666667,0.45,184.389,2.0507989115119862
2017Q1,19280.084,4.070785530747623,4.566666666666666,0.7000000000000001,186.518,2.44119623655914
2017Q2,19438.643,3.884953918141698,4.366666666666667,0.9500000000000001,192.252,1.640565809959127
2017Q3,19692.595,4.234220534251465,4.333333333333333,1.1533333333333333,194.801,2.1805652303711787
2017Q4,20037.088,4.964587899899731,4.166666666666667,1.2033333333333334,195.832,2.129930719552253
2018Q1,20328.553,5.438093526978416,4.033333333333333,1.4466666666666665,198.558,2.3309497646499366
2018Q2,20580.912,5.876279532475603,3.9333333333333336,1.7366666666666666,204.02599999999998,2.8075506935940187
2018Q3,20798.73,5.617009845579002,3.766666666666667,1.9233333333333331,205.359,2.332055105808828
2018Q4,20917.867,4.395743533192031,3.8333333333333335,2.22,204.68099999999998,2.0023809043401064
2019Q1,21111.6,3.851956408309043,3.8666666666666667,2.4033333333333333,205.755,1.8831863513063984
2019Q2,21397.938,3.9698240777668037,3.6333333333333333,2.3966666666666665,210.571,1.671194894390049
2019Q3,21717.171,4.4158513524623855,3.6,2.19,211.858,1.6844977040391562
2019Q4,21933.217,4.853984395254085,3.6,1.6433333333333333,212.22299999999998,2.3195274699624457
2020Q1,21727.657,2.9180971598552485,3.8333333333333335,1.26,215.179,1.4940399642909163
2020Q2,19935.444,-6.834742674738092,13.0,0.06,219.794,0.7166562831830481
2020Q3,21684.551,-0.15020372589044095,8.799999999999999,0.09333333333333334,226.787,1.3910228912373812
2020Q4,22068.767,0.6180123964487194,6.766666666666667,0.09000000000000001,234.34799999999998,1.3204191315779434
